Francesca,Construction ID,Name,Form,Function,Formal Tags,Functional Tags,Schematicity Level,Examples 1,Source,Examples 2,Source,Examples 3,Source,Examples 4,Source,Examples 5,Source,Idiomaticity Level Function,Explain,Idiomaticity Level Form,Explain,Idiomaticity Level Restrictions,Explain,Idiomaticity Level Collocational Preferences,Explain,Idiomaticity Level Usage Familiarity,Explain,Data Collector,Notes
,32,,"Adv/Pronint/Adjint+ V+ già 
Adv/Pronint/Adjint+ V1+ che+V2+ già",costruzione che il parlante utilizza per riferirsi qualcosa che già sa ma che vuole che l'interlocutore gli ricordi perché in quel momento non gli sovviene,,INTERROGATIVE,partially filled/schematic,"""Cos'è già che mi dicevi ieri?"" (= mi ricordo che abbiamo parlato, ma non ricordo con precisione cosa mi hai detto)",Esempio proposto da me in: https://docs.google.com/forms/d/1qCaY3q50Aoxaze0p0IAug1DG6d64yfSc5qVdbfXpkYI/edit?usp=sharing,"""Cosa hai cucinato già per pranzo?"" (=mi hai detto cosa avresti cucinato ma in questo momento mi sfugge)",Dalle risposte al form: https://docs.google.com/forms/d/1qCaY3q50Aoxaze0p0IAug1DG6d64yfSc5qVdbfXpkYI/edit?usp=sharing ,"""Dov'era già che l'avevamo visto?""",Dalle risposte al form: https://docs.google.com/forms/d/1qCaY3q50Aoxaze0p0IAug1DG6d64yfSc5qVdbfXpkYI/edit?usp=sharing ,"""Com'è che si chiama già quel posto dove hai mangiato bene?""",Dalle risposte al form: https://docs.google.com/forms/d/1qCaY3q50Aoxaze0p0IAug1DG6d64yfSc5qVdbfXpkYI/edit?usp=sharing ,"""Raga ma di cos'è che parlavamo ieri già?""",Dalle risposte al form: https://docs.google.com/forms/d/1qCaY3q50Aoxaze0p0IAug1DG6d64yfSc5qVdbfXpkYI/edit?usp=sharing ,yes,"Anche se la domanda risulta comprensibile, il l'avverbio già appare a chi ascolta fuori contesto e non è possibile collegarlo immediatamente alla domanda.",no,,yes,già deve essere inserito appena dopo V1 o V2,no,,yes,"Questa costruzione è utilizzata nella maggior parte dei casi in contesti familiari e informali. Inoltre, sembra essere diffusa solo a Nord (Piemonte ed Emilia Romagna soprattutto) risultando molto insolita agli altri parlanti.",Rita Caputo ,
,33,,a occhio e croce,"espressione comunemente usata per indicare misurazioni o valutazioni non perfettamente precise, basate su uno sguardo non approfondito",approximation/ valuation,generalizing,fully schematic,"Non parlo per sentito dire , ma per esperienza diretta . Da quando dirigo giornali , praticamente trascorro più tempo in tribunale che in redazione ; a occhio e

, credo di aver felicemente superato le trecento querele e conto , entro l ' anno , di sfondare quota quattrocento",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=114830445&End=114830445,"Consulterò il mio legale , ma così a

e croce ( anche_se entro il 20 non arriva una decisione del Duce ) credo che NON mi convenga dimettermi , anche perché una motivazione simile mi aiuterebbe a trovar lavoro in America",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=16760742&End=16760742,"Questo disse a occhio e

per ore , ossessivamente , spalancando gli occhi , torcendo la bocca .",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=155333650&End=155333650,,,,,no,"Il significato dell'espressione è comprensibile dalla somma dei costituenti, non dalle singole parti.",no,la costruzione non presenta particolarità sintattiche,yes,L'intera costruzione è costituita da slot fissi.,yes,,yes,,Francesca Ianni',
,34,,neanche per + N(sogno/idea/scherzo),"Serve ad esprimere in modo enfatico la negazione di qualcosa (o in risposta ad una domanda o in aggiunta a ""non"" in una dichiarativa), anche con funzione pragmatica di comunicare sdegno e disapprovazione. ",complex adverb,intensification,partially filled/schematic,"- Non è mica un posto normale e comune, neanche per sogno. Lì vive il mostro che devo inventare ...",Corpus CORIS,Un fantasma ti dice chiaro e tondo che la vita ultraterrena che t'immagini non esiste neanche per idea: anche da morto torni sui tuoi passi.,Corpus CORIS,"Si chiama Ettore, ma ha un tallone d'Achille: non gli toccate neanche per scherzo la sua piccola grande cooperativa.",Corpus CORIS,«Tutte le sere mi infilava biglietto sotto porta: forse signorina si è pochino ammorbidita ? E io: neanche per sogno!»,Corpus CORIS ,"Lella Costa, attrice milanese, si inalbera: "" Votare per quella buffonata ? Ma neanche per idea"".",Corpus CORIS,yes,"Il suo significato rafforzativo della negazione, soprattutto nei casi in cui è utilizzato per esprimere lo sdegno o la ritrosia del parlante di fronte a qualcosa, non è dato dal significato letterale di neanche+per+sogno(/idea/scherzo), cioè ""(qualcosa che non avviene/esiste) nemmeno in un sogno, in un'idea, in uno scherzo"". ",no,,yes,"N deve essere per forza una parola di una lista determinata, non può essere un qualsiasi sostantivo; in particolare, ciò che accomuna i sostantivi accettati, a livello semantico, è il fatto di essere un risultato dell'attività del pensiero, un frutto della mente umana (idea, sogno, scherzo...). ",no,,no,,Emanuela De Vita ,"Costruzione molto simile nella forma (relazione di sottoparte?): neanche per + Det. + N(attimo/istante/minuto/momento/secondo...) -> significato leggermente diverso, implica l'idea di temporalità e si può sostituire con ""mai"". "
,35,,mettere su + N,"Il verbo mettere non è usato nella sua semantica di collocare qualcosa in un determinato posto, ma con il significato di allestire, formare, organizzare",,,partially filled/schematic,Damon sembrava molto determinato a  un bello spettacolo per il maggiordomo,http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=39302733&End=39302734,"Così , avete intenzione di  presto famiglia ?",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=31153106&End=31153107,pensavano di  casa a Tokyo,http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=86659066&End=86659067,E ormai non c ' è banca d ' investimento che non stia pensando di  un proprio team di esperti .,http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=148508510&End=148508511,"Sto pensando per fine gennaio , inizio febbraio 2021 di  un incontro online ",http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=164455998&End=164455999,yes,"Il significato generale della costruzione non è deducibile dalle sue componenti. Il verbo mettere ha il significato di collocare, posare; la preposizione su è usata come sinonimo di sopra",no,,no,,no,,yes,"L'espressione viene frequentemente usata dai parlanti nativi con il significato di allestire, organizzare",Valentina Fantini,
,36,,"V + Avv (-mente)
anche ordine inverso:Avv(-mente) + V","informazione di modo (accessoria) agggiunta al verbo, la cui ricorrenza è determinata dal verbo stesso.  ",-mente,modalità dell'azione,partially filled/schematic,"Desiderare ardentemente
A causa del suo indiscreto comportamento il fratello Giorgio III non le permise di tornare in Inghilterra, cosa che lei desiderava ardentemente.",https://www.corpusitaliano.it/static/documents/sources/171/1718652,"pentirsi amaramente
Così Frodo, indossato l'anello, si dà alla fuga, sottraendosi alla vista dello stupefatto Boromir. Boromir si pente amaramente del suo gesto, ma ormai è troppo tardi: Frodo è sparito.",https://www.corpusitaliano.it/static/documents/sources/020/0207921,"rifiutarsi categoricamente
Il Montesecco però, che non era un sicario ma un condottiero, si rifiutò categoricamente di compiere un atto tanto efferato",https://www.corpusitaliano.it/static/documents/sources/067/0675036,"Dubitare fortementeCon l'inizio dell'Opričnina, tuttavia, Ivan riprese a dubitare fortemente sulla lealtà del cugino.",https://www.corpusitaliano.it/static/documents/sources/078/0786729,"dimenticare completamente
a volte si seppellisce quella parte di se stessi così profondamente che ci si dimentica che invece è ancora lì, e a volte si vorrebbe semplicemente dimenticare completamente chi si è.
 ",https://www.corpusitaliano.it/static/documents/sources/108/1082566,yes,"Nell'esempio 'dubitare fortemente', l'avverbio ha significato completamente idiomatico, un dubbio non può essere forte se ci riferiamo alla classica accezione di forte come dotato di forza fisica. Riguarda in questo caso l'intensità del dubbio. 
Così anche in 'desiderare ardentemnte' (dove ad ardere è la fiamma metaforica del desiderio visto come un fuoco che tutto devasta) e 'pentirsi amaramemte' (in cui è amaro metaforicamente il pentimento) e 'rifiutarsi categoricamente'.",yes,"Non ci possono essere interpolazioni all'interno della costruzione. Tuttavia, è possibile l'ordine inverso (avv +V). inoltre la ricorrenza non è fissa. Ad esempio un avverbio come 'categoricamente' ricorre anche con verbi come 'escludere', 'smentirsi', 'proibire'.
https://www.corpusitaliano.it/it/access/simple_interface.php ",no,,no,,no,,Martina Saccomando,
,37,,"Art. indet.+N1+ Prep. ""di"" semplice o articolata + N2","Modo di dire per esaltare le qualità, positive o negative, di una persona, un luogo,  un oggetto. Possiamo trovare questa costruzione sia nel registro informale che formale, a seconda dell'espressione utilizzata.",,,partially filled/schematic, La strategia attuata nell’ambito del programma MINERVA [...] costituisce [...] anche una fonte di idee e ispirazione per gli altri Stati membri dell’Unione.,https://www.europarl.europa.eu/doceo/document/CRE-6-2007-02-14_IT.html?redirect,Mio fratello è un pezzo di pane,https://www.piccolomondoitaliano.com/2019/06/03/10-espressioni-italiane-con-la-parola-pane/,A te che sei una forza della natura [...],"https://erimioofficial.tumblr.com/post/166788159708/a-te-che-sei-una-forza-della-natura-un-uragano#:~:text=Italy%20%2D%20Padova%20%2D%2024-,A%20te%20che%20sei%20una%20forza%20della%20natura%2C%20un%20uragano,stella%20pi%C3%B9%20luminosa%20di%20tutte.",Dedicarsi alle faccende domestiche spesso è davvero una rottura di scatole,https://www.mammastyle.it/2021/11/24/casa-sempre-pulita-e-profumata-dopo-le-pulizie-devi-fare-assolutamente-questo/,è una testa di rapa,https://www.treccani.it/vocabolario/rapa1/,no,"Il significato dell'insieme non è deducibile da quello delle singole parti. Bisogna anche guardare al contesto comunicativo in cui si realizza questa costruzione, in modo da capirne il significato e riuscire a decodificarlo.",no,,yes,"Questa costruzione richiede sempre un articolo indeterminativo che si accorda con N1. Vi sono diverse restrizioni sui nomi che possono comparire nelle posizioni di N1 e N2. 
Esempio: Questo lavoro è una rottura di tempo -> non ha alcun senso!
Inoltre, non è possibile sostituire la preposizione ""di"" (che può comparire come semplice o articolata) con altre preposizioni.",yes,"Non è possibile cambiare l'ordine dei costituenti, in quanto la costruzione non avrebbe più senso.
Esempio1: Sei proprio una rapa di testa!-> non ha senso!
 
 ",yes,"Questa costruzione può essere utilizzata sia a livello formale che informale e viene preferita nell'uso, in quanto rende immediatamente l'idea di ciò che vogliamo presentare e sottolineare, inerentemente le caratteristiche di una persona, un luogo o un oggetto.",Elena Pinzuti,
,38,,V + Detind + colpo di + N,"questo idiom soddisfa la funzione pragmatica di azione immediata, puntuale e circoscritta (cfr. colpo di telefono/chiamare; colpo di tosse/tossire...)","modality, Substantive idiom","aspect, mirativity, limitatezza, action, time",partially filled/schematic,Dare un colpo di telefono,http://193.205.158.203/metamotorelessico/MetamotoreLessico.html,Detti un colpo di tosse,http://193.205.158.204:8983/solr/collection1/browse?q=id:stper158.xml,Dare un colpo di phon,,Mi ha fatto un colpo di telefono,,,,yes,Il significato dell'espressione non è predicibile dalla somma dei suoi componenti.,no,,yes,La costruzione deve necessariamente preceduta da articolo indeterminativo e seguita da sostantivo.,yes,La preferenza collocazionale della costruzione prevede fare/dare come verbi che la precedono.,no,,Nicoletta Pintus,
,39,,N/PronPers + Congcoord + compagnia bella,"L'espressione ha una funzione associativa collettivizzante in riferimento a persone e cose. Il focus pragmatico ricade sul tema (elemento dato), mentre compagnia bella è il rema (elemento nuovo).",approximation/ valuation,"plurality, dispersion, generalizing, approximation, vagueness, vaghezza, indefinitezza",lexically filled,Pomezia e compagnia bella ,http://badip.uni-graz.at/it/corpus-lip/cerca?view=vcerca,Polizze e compagnia bella,http://193.205.158.203/metamotorelessico/MetamotoreLessico.html,Stasera viene Sara e compagnia bella,,Hanno confiscato tutti i beni della Chiesa e compagnia bella,,,,no,,no,,yes,La costruzione richiede necessariamente una particella coordinante e che precede il costrutto nominale.,yes,Il costrutto è preferibilmente preceduto da un sostantivo o da un pronome personale soggetto.,yes,La forma si è fossilizzata nel suo significato non composizionale (≠ compagnia + bella) per mezzo dell'alta frequenza d'uso di tale costruzione nel linguaggio.,Sara Tanganelli ,
,40,,"andare a (V+prep.) + N. (zonzo,genio,rotoli, gonfie vele) ","andare a zonzo:girovagare, andare in giro senza una meta o uno scopo ben preciso. 
andare a genio: quando qualcosa va a genio significa che ci è gradito. 
andare a rotoli: andare male, non riuscire. 
andare a gonfie vele: l'espressione andare a gonfie vele si usa quando tutto va bene come previsto. 
 ",,,partially filled/schematic,A Giulia piace andare a zonzo per la città. ,intuizione ,il tuo amico mi va a genio. ,,a volte ho come l'impressione che tutto vada a rotoli. ,,l'esame è andato a gonfie vele. ,,,,yes,il verbo andare esprime maggiormente il significato di tutta l'espressione idiomatica in cui appare. ,no,,no,andare a accetta diverse parti del discorso e i nomi possono essere sia plurali che singolari,no,andare a può  essere utilizzato non solotanto con il nome ma anche  con altre parti del discorso quali i verbi. (es; andare a dormire),yes,si tratta di espressioni convenzionalizzate che vengono maggiormente eutilizzate nell'ambito familiare. ,Marika Terzo ,
,41,,Frase reggente + tanto vale + fraseEspl (che+ind/cong)/Impl (inf),"Il costrutto svolge una funzione contrastiva rispetto alla frase reggente (tema). La costruzione sposta il focus pragmatico dalla frase reggente alla frase successiva (rema). Le accezioni del costrutto possono essere: opzione, ironia (il biglietto costa 40 euro? Beh, tanto vale andare a piedi!).",pseudocoordination,"antonymy, limitatezza",partially filled/schematic,Tanto vale che entro tardi.,http://corporadidattici.lablita.it/run.cgi/first?iquery=tanto+vale+&corpname=parlato,Se ci danno l'elemosina allora tanto vale che stiano senza darci niente.,http://badip.uni-graz.at/it/corpus-lip/cerca?view=vcerca,Il suo compleanno è a Natale? Tanto vale farle un solo regalo.,,"La presentazione del libro non mi piace, tanto vale andarsene.",,,,yes,"La costruzione è idiomatica in quanto il suo significato è predicibile dalla frequenza d'uso, ma non dalla somma dei suoi costituenti.",no,,yes,La costruzione deve necessariamente dipendere da una proposizione principale che venga contrastata con valore avversativo o con valore ironico.,yes,"Nella sua forma esplicita, la costruzione presenta la preferenza collocazionale che seguita dal verbo al modo indicativo o congiuntivo. Si tratta di una preferenza collocazionale perché la frase successiva si può presentare anche in forma implicita (con verbo all'infinito).",yes,La frequenza d'uso di tale costruzione ha comportato la fossilizzazione del suo significato non composizione (≠ tanto + vale).,Domiziana Sernesi,
,42,,X(v) + prep. + X(n) ,"metafora;
essere al verde= indica il non essere in possesso di denaro; 
essere al settimo cielo= essere al massimo stato di felicità;
essere in alto mare= essere lontano dalla soluzione di qualcosa;
essere in vena= sentirsi al pieno delle forze e dunque nella condizione migliore per fare qualcosa;
essere nelle canne= essere in difficoltà.
 ",light verbs,aspect,partially filled/schematic,essere al verde ,internet ,essere al settimo cielo,internet,essere in alto mare,internet,essere in vena,internet,essere nelle canne,internet,yes,"perché il significato dell'espressione non dipende dalla semplice somma del significato delle singole parole. Ad esempio: ""essere al settimo cielo"" non implica concretamente il luogo in cui si trova una persona ma un suo stato d'animo.",no,la costruzione si presenta  con la stessa forma morfo-sintattica.,yes, l'ordine delle parole non può essere modificato,no,\\,yes,l'espressione si è convenzionalizzata tanto da essere utilizzata come modo di dire.,Teresa Sciarrotta,
,43,,X(v) + compl. modo (come) + Y(n),"Similitudine (per denotare il modo in cui si canta)
- Cantare come una rana (in modo sgraziata)
- Cantare come un fringuello (in modo allegro)
- Cantare come un usignolo (molto bene)",complex predicates,categorization,partially filled/schematic,Cantare come una rana ,Internet ,Cantare come un usignolo ,Internet ,Cantare come un fringuello ,Internet,,,,,yes,Il verbo cantare non è utilizzato solo per indicare un’azione ma per denotare un paragone. ,yes,Si tratta di una costruzione verbale intercambiabile ,yes,X deve essere sempre lo stesso verbo mentre Y può variare a seconda del paragone. ,no,,yes,La costruzione ha sviluppato una frequenza di utilizzo tale da farla diventare un modo di dire che indica l’intonazione o lo stato d’animo di qualcuno. ,Martina Punturiero ,
,44,,X (v)  + compl.ogg. ,Hai scoperto l'acqua calda/ l'America è un modo dire che si utilizza il più delle volte per ridicolizzare o schernire l'interlocutore.,light verbs,CRITICISM,partially filled/schematic,Hai scoperto l'acqua calda,Internet,Hai scoperto l'America,Internet,,,,,,,yes,Il verbo scoprire non è utilizzato solo per indicare un'azione ma per schernirla ,yes,Si tratta di una costruzione verbale intercambiabile ,yes,Al verbo scoprire deve essere sempre accompagnato un complemento oggetto,no,,yes,La costruzione ha sviluppato una frequenza d'uso tale da diventare idiomatica nella sua ironia ,Flavia Vetere,
,45,,V (Contare) + Prep(su/sul/sulla...) + N/Pronpers ,"L'espressione retta dal verbo Contare si allontana dal significato lessicale del verbo per indicare, nella Costruzione tutta, un giudizio di affidabilità rispetto a qualcuno/qualcosa. ",,,partially filled/schematic,Michela conta sulla collaborazione di Giacomo per l'allestimento del banchetto. ,,Io contavo su Mario per l'organizzazione della festa. ,,,,,,,,yes,"L'espressione non è facilmente interpretabile, è necessaria una familiarità con questa affinchè si possa comprenderne il senso. ",yes,"Non regolare dal punto di vista sintattico: si pensi al significato lessicale del verbo contare e alle conseguenti restrizioni semantiche dei referenti a questo associati. L'applicazione e i referenti previsti entro questa costruzione, invece, sono soggetti e meno restrizioni semantiche. ",no,L'applicazione e i referenti previsti per un N qualsiasi sono soggetti a poche restrizioni dal punto di vista semantico. ,no,,yes,Espressione colloquiale e ad alta frequenza. ,Silvia Lomuscio ,
,46,,Art. Indet. + N(sacco) + Prep. (di) + N,"La costruzione esprime una quantità elevata, ma indefinita, di qualcosa di specifico, anche astratto.",,,partially filled/schematic,"I robot si occuperanno di tutte le faccende domestiche , lasciandole un sacco di tempo per dedicarsi ai suoi passatempi preferiti . ",http://corpora.ficlit.unibo.it/CODIS/Context.php?Start=84698130&End=84698131,"« Tu però hai passato un sacco di tempo in ospedale , naturalmente » , disse . ",http://corpora.ficlit.unibo.it/CODIS/Context.php?Start=152949111&End=152949112,"È una città piuttosto grande , con un sacco di abitanti e di cose da fare .",http://corpora.ficlit.unibo.it/CODIS/Context.php?Start=153169531&End=153169532,"È un posto molto bello , c ' è sempre un sacco di gente carina che va e che viene . ",http://corpora.ficlit.unibo.it/CODIS/Context.php?Start=37112058&End=37112059,Per questo si fanno un sacco di sciocchezze . ,http://corpora.ficlit.unibo.it/CODIS/Context.php?Start=155665803&End=155665804,yes,La forma della costruzione esprime una quantità che non può essere solo quella compresa in un sacco,no,,yes,Solo italiano colloquiale.,yes,L'ordine dei componenti non è variabile e si presenta solo in questa forma.,no,,Sara Scalvini,
,47,,V(fare) + Adv(molto) + N(proprio)/Adj/gruppo nominale,"Espressione di somiglianza tra l'entità del soggetto (spesso sottinteso, spesso referente del contesto situazionale) del verbo 'fare' e gruppo nominale con valore aggettivale o l'aggettivo.",similutide,categorization,partially filled/schematic,"Fa molto Fellini, vero? Che bello! ","Ecce Bombo, (1978), Nanni Moretti.",".. la frangetta, soprattutto sul caschetto corto, che fa molto Arisa, ...",https://www.corpusitaliano.it/static/documents/sources/770/7705365,il che fa molto Piazza Grande,https://www.corpusitaliano.it/static/documents/sources/780/7807716,un'automobile di altri tempi che fa molto retrò,https://www.corpusitaliano.it/static/documents/sources/780/7808466,,,yes,"Significato della struttura non predicibile dai costituenti, ma molto convenzionalizzato. ",no,,yes,"Per quanto riguarda il gruppo nominale può comprendere nomi propri di referenti culturalmente noti ai partecipanti dell'interazione, espandendone il significato all'accezione della personalità, aspetto e/o delle caratteristiche della loro produzione culturale. (esempio: gli artisti: X fa molto Fellini/Picasso/Arisa...)  Oltre a nomi propri, si possono trovare gruppi nominali complessi (es. questo fa molto anni '60), ma non tutti i gruppi nominali sono applicabili. ",yes,"Nel descrivere lo stile di una qualche entità, che sia un ambiente, una persona o un semplice taglio di capelli, la costruzione X fa molto Y presenta molto spesso in Y una qualche decade del ventesimo secolo, rimandando alle relative caratteristiche culturali, artistiche, politiche e/o socio-economiche. ",yes,Usato molto spesso nel linguaggio parlato in quanto in modo estremamente economico aiuta la descrizione di una qualche identità,Giovanni Antoniol,
,48,,S spingere (O) a V ,X determines/influences (Y) to [do something]z,S V O to V patterns,Causative construction         (the subject causes an action to be performed),partially filled/schematic,"Tra tutti quelli che erano interessati allo svolgimento del match, Hart era senza dubbio il più calmo di tutti. Molte piccole cose lo avevano spinto a guardare con tranquillità a quanto stava per accadere.",CorpusPaisà (corpusitaliano.it),La presenza di depositi di ferro a livello cerebrospinale ha spinto a ricercare una correlazione tra questi patologici restringimenti venosi ribattezzati sotto il nome di Insufficienza venosa cronica cerebrospinale o CCSVI e la sclerosi multipla.,CorpusPaisà (corpusitaliano.it),"La presenza a breve distanza dei ruderi di altri tre mulini, ""Mulino Ramet"", ""Mulino Sourdon"", ""Mulino Tissot-Avon"", un tempo simboli identificativi della città, ha spinto a sfruttare l'area a scopo turistico.",CorpusPaisà (corpusitaliano.it),"Ciao, sono Marìca, ho un amore spasmodico per i libri, e il rapporto spesso conflittuale con la lettura e la scrittura mi hanno spinto a fare sempre più uso dei dizionari e delle enciclopedie.",CorpusPaisà (corpusitaliano.it),Le caratteristiche del Circuito di Singapore hanno spinto a dare all'ala anteriore un aspetto più arrotondato.,CorpusPaisà (corpusitaliano.it),yes,"Il verbo spingere, in relazione con la costruzione nel complesso, assume un valore semantico specifico, riconducibile alla formula «esercitare influenza al punto da»",no,,yes,"X= N, nominalized sentence (formal/specialized register), pronoun; more rarely V
Y does not necessarily occur. If present,  Y= N, nominalized sentence (formal/specialized register), pronoun
Z= V;     possible, but very rarely nominalized sentences (formal/specialized register)--> different construction",yes,"La stessa costruzione sembrerebbe ammettere in maniera equivalente il verbo “spingere” e il verbo “portare”. Eppure, la scelta dell’uno o dell’altro verbo sembrerebbe orientare il meaning della costruzione verso direzioni diverse:
SPINGERE --> esercitare influenza al punto tale da   
Es. La cattiva condizione meteo lo ha spinto a rinunciare al fine settimana in montagna.
PORTARE --> determinare/causare
Es. La cattiva condizione meteo lo ha portato a rinunciare al fine settimana in montagna.",yes,"CONVENZIONALIZZAZIONE: si riscontra una preferenza, de facto, nella scelta del verbo per la costruzione dell’idiom
         Alcuni recenti studi hanno spinto a ipotizzare che mangiare cioccolato...
             ?? Alcuni recenti studi hanno premuto a ipotizzare che mangiare cioccolato...
(la convenzionalizzazione si rintraccia, nel caso portato a esempio, nell’aver affidato il senso di “indurre” a spingere e non a premere)",Francesco Folino,"La costruzione descritta tende spesso ad occorrere intersecata con una costruzione relativa --> S che spingere (O) a V       
Es. La cosa che ci ha spinto a fare musica insieme è stata l’amore per le radici che sentivamo in qualche modo comuni.
Source: corpusitaliano.it"
,49,,Vessere + AVVluogo + che + V2,"trovarsi in un luogo (più o meno definito, reale o figurato, indicato dall'AVVluogo) e compiere una determinata azione continuativa (espressa da V2), registro informale","adverb, che polivalente, extragrammatical, formal idiom, lexically open, idiom of encoding, without pragmatic point","aspect, action, place, situation, durativity, imperfective aspect",partially filled/schematic," Ma andiamo ancora a Moretta, dove le operazioni di scrutinio sono più lunghe. Sono ancora lì che contano.",Corpus: Italian Web 2016 (itTenTen16),Siamo tutti qui che attendiamo impazientemente il tuo arrivo.,Corpus: Italian Web 2016 (itTenTen16),Lui è giù che si guarda la partita.,Corpus: Italian Web 2016 (itTenTen16),"Un giorno qualcuno disse: ""La vita è fuori che ti aspetta"". Risposi: ""Non la trovo!""",Corpus: Italian Web 2016 (itTenTen16),"Mentre ero lì che piangevo mi sono resa conto di essere in procinto di staccare un cordone ombelicale forte, fatto di complicità, che mi ha portata tante volte a provare frustrazione, ma anche gioia di fronte a quel neonato che cresceva forte e robusto, con una voce da spaccare i timpani, deciso nella sua volontà di vita.",Corpus: Italian Web 2016 (itTenTen16),no,"La semantica della costruzione è facilmente deducibile dalla somma dei significati delle parti che la compongono.Tuttavia, quando nella costruzione appare lì o qui come AVVluogo il livello di idiomaticità è maggiore: l'avverbio non denota un luogo reale, concreto, ma piuttosto serve ad enfatizzare la duratività dell'azione (che può essere ulteriormente enfatizzata tramite avverbi come ancora o sempre).",yes,Si tratta di una costruzione extragrammaticale per via della presenza del che polivalente.,yes,"La costruzione presenta in tutto quattro slots, di cui solo uno è fisso (il terzo, occupato sempre dal che polivalente).Il primo slot è occupato dal verbo essere, che dev'essere necessariamente coniugato al tempo presente o imperfetto dell'indicativo.Il secondo slot è occupato da un avverbio di luogo (qui o lì).Il quarto slot è occupato da un altro verbo, tendenzialmente che denota un'azione o un processo (e non uno stato: *sono qui che abito; *sono qui che ho i capelli lunghi), necessariamente coniugato allo stesso modo, tempo, persona, numero e genere del verbo essere. ",no,,yes,"La costruzione viene di solito preferita a forme standard per enfatizzare la duratività dell'azione.Quando il livello di idiomaticità è alto (con lì e qui) la costruzione può essere ricondotta Ad esempio: ""Sono ancora lì che contano"" > ""Stanno ancora contando"" ",Greta Interlandi,"Possibile caratterizzazione a livello diatopico.
Possibile ambiguità di forma con la costruzione della frase scissa (es. ""è qui che non sa cosa fare"" - ambiguità da sciogliere in base al contesto o alla prosodia/intonazione).
 "
,50,,non vedere l'ora di X,esprimere impazienza (con accezione positiva) nei confronti di un evento futuro,"grammatical idiom, lexically filled idiom, idiom without pragmatic point",,lexically filled,Non vedo l'ora di vederti,,,,,,,,,,no,,no,,no,,yes,non vedo l'ora di + V,yes,,,
,51,,non+aus+mica+pp.,La costruzione ha la funzione di rafforzare la negazione della frase.,,,partially filled/schematic,non hai mica capito.,italiano colloquiale,non ho mica esagerato.,italiano colloquiale,non sono mica stato io!,italiano colloquiale,,,,,no,,no,,yes,parlato colloquiale.,no,,no,,Francesca Bertocchi,
,52,,avere la coda di paglia,"Espressione utilizzata per indicare senso di colpa, coscienza sporca, timore che qualcuno stia alludendo a fatti e/o difetti di cui ci si vergogna.",,,lexically filled,Perché ti scaldi tanto? Hai la coda di paglia?,conversazione whatsapp,Se Luca si imbarazza tanto ha parlarne è perchè ha la coda di paglia.,conversazione telefonica,,,,,,,yes,"La costruzione avere la coda di paglia è idiomatica a livello di funzione perché non rispetta il principio di composizionalità, ovvero non è possibile dedurre il suo significato complessivo a partire dalla somma dei significati delle sue parti. ",no,,yes,"La Costruzione presentà un'altissima fissità sintattica, eccezion fatta per il verbo avere. Accetta di essere interrotta da aggettivi o avverbi ma non ammette dislocazioni.",yes,"La Costruzione è interamente fissata a livello lessicale, non ammette collocazioni che non siano quelle dell'espressione idiomatica di partenza.",no,,Mariarosaria Vitiello,
,53,,"(PROdat+)V3Sing""Venire""Temp+Prep""Da""+VInf",Esprime una reazione spontanea a uno stimolo sia interno che esterno. ,"complex predicates, extragrammatical","modalità dell'azione, context dependence",partially filled/schematic,"Anzi , rido proprio , e mi viene da coprirmi la bocca con la mano .",CORIS http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=57851776&End=57851778,"Il risultato di tali opere è che radici di alberi , tuttora infestanti , minacciano con la loro penetrazione la stabilità dello stesso muro : e non essendo stato rimosso il terrapieno , peraltro sporchissimo , che ricopre il basamento di fronte alla strada , viene da chiedersi se e quali lavori di solidità siano stati operati dalla XII Ripartizione",CORIS http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=1022449&End=1022450 ,""" Su che cosa siete d ' accordo ? "" . Su quasi niente , mi viene da rispondere .",CORIS http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=27364326&End=27364328,È sotto l ' influsso di queste riflessioni che ho letto l ' interessante lavoro della dottoressa Mariotti e mi è venuto da pensare all ' incontro con il suo testo negli eleganti e armonici termini dell ' arte marziale .,CORIS http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=23527547&End=23527550 ,"Sono segni buoni , mi viene da dire.",CORIS http://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=16126688&End=16126690,no,,yes,"Forma simile alle proposizioni impersonali, ma queste di solito sono seguite dalla preposizione “di” oppure direttamente da un verbo all’infinito. Qui invece troviamo la preposizione “da”.",yes,Verbi che esprimono una reazione a uno stimolo improvviso sia interno che esterno. Quindi non può essere un’azione preponderata:Mi viene da dire. MA NON: *mi viene da enunciare.,no,,no,,Marta Wanicka,
