sent_id	left_context	pivot	right_context
936	@user non si puo fare 	indigestione	 di rugby, impossibile ... 
940	Si va verso il #Governo #Monti ... un moderato, garante dei poteri forti, speriamo almeno che sia equo e non faccia 	macelleria	 sociale. 
941	Non sono un fan degli attuali partiti, ma #Beppe #Grillo mi fa 	paura	, non mi fido degli imbonitori. Abbiamo già dato per 20 anni, grazie. 
944	Ok facciamo 	finta	 che #Grillo dica cose giuste e poi scompaia. Dopo di lui? 
953	Vendola favorevole al governo Monti. Non me l'aspettavo e mi fa 	piacere	! #FullMonti #3O8 #fatepresto 
968	@user Beh? Non è stato il primo a dire che Grillo non era in grado di far 	politica	 perchè manda sempre tutti a cagare? #Grillo vai! 
1060	@user1 Ci sono circhi e circhi. #Grillo fa 	parte	 della categoria degli artisti. Poi, ci sono le categorie dei pezzenti @user2 
1198	voglio fare 	sesso	 :* 
1322	Mario Monti mi fai 	schifo	. UN BANCHIERE AL GOVERNO ... SENZA UN ITALIANO CHE TI HA VOTATO ... ma chi cazzo sei? ma che cazzo vuoi? 
1327	@user: Non ho sentito dichiarazioni Pd ... il governo Monti si farà perché a qualcuno faceva 	paura	 assumersi le proprie responsabilità 
1342	Fa 	schifo	 il posto fisso. Meglio 5 anni di parlamento ed avere la pensione d'oro a vita. Vero signor Mario? #monti 
1486	#Legaladrona vuol far 	pulizia	 ed entra #Bossi? Tutto come nulla fosse? Ma che presa x il culo! #Vergogna! #Grillo #M5S 
1550	@user ti pagano a fare 	cosa	? 
1590	RT @user: conte fa il 	possibilista	 e pragmatico sui moduli. e poi dobbiamo tenerci padoin sulla fascia contro il principio di re… 
1721	@user io la vedo così: #Grillo fa 	politica	 SUI sondaggi. Non ha la minima idea di cosa fare dell' Italia. Cavalca il malcontento. 
1983	@user #Grillo Sono felice di non condividere le idee, di chi utilizza simili tragici espedienti per fare 	propaganda	 
2039	#Napolitano dovrebbe fare 	nome	 di #Grillo se si riferisce a lui quando parla di demagoghi se no è facile che la gente pensi a #UDC #PD #PDL 
2069	Melli fa tanto 	giocatore	 anni 70 
2071	@user ma non fare 	danno	! u___u 
2201	@user Prima avevamo un presidente comico; oggi invece un comico che vuole fare 	presidente	 #Grillo #Piazzapulita 
2203	@user e io non faccio 	parte	 della famiglia #Grillo ?? :D 
2209	#Grillo ha raggiunto la fase " delirio di onnipotenza ", ma nel nulla cosmico della politica italiana anche quello fa 	brodo	 .. 
2225	Bossi: « Il governo Monti fa 	schifo	 ». Un giudizio tecnico. 
2267	Aria di inciucio, Pdl: Se nel governo Monti ci sarà Amato chiediamo che ne faccia 	parte	 anche Letta http://t.co/6Uje4Oo4 #oramonti 
2285	Preferisco fare 	affidamento	 su un #Grillo piuttosto che su un Bossi o un Berlusconi. Onestamente eh, poi magari non farà un cazzo. 
2300	RT @user: - DARE PESO ALLE VOSTRE CRETINATE. MA NON CI FATE 	CASO	? PERCHE' I VOSTRI IDOLI CI STANNO MALE MA TAYLOR NO? CHI PENSA A CO… 
2310	@user non ne ho mai fatto 	parte	, quindi non so bene come funziona lol 
2324	#Grillo fà propio 	paura	 alla #sinistra, il buon #bersani pensi a governare e stia sui banchi di #Montecitorio 
2334	Si fa 	fatica	 a vedere anche un solo segnale di equità nella manovra del governo Monti. Tutto grava sulle spalle ... http://t.co/sVuimqsq " 
2554	#Grillo inizia a far 	paura	 a tutti. 
2617	#Vauro: È più facile fare 	satira	 sulla Fornero e su questo governo che su Berlusconi. #governo #monti 
2633	Ma vietare i botti a #Capodanno fa 	parte	 della #fase2 del Governo #Monti? Non ditemi che e' per evitare di pagare gli straordinari ai PS? :) 
2824	Google ora fa 	concorrenza	 anche alle compagnie telefoniche, col progetto Google “ Fi ”: http://t.co/b2Ly0P2jtS http://t.co/323qyReAUN 
2842	Davanti alla morte di 700 persone bisognerebbe solo fare 	silenzio	! Grande Roy! #unomaggiotaranto https://t.co/XdN2wbpM1P 
2901	" @user: ✨ Cita e rispondi di feds ✨ Cosa pensi della tua vita? " che fa 	schifo	 
2913	#D'Alema: “ Ho fatto 	sacrificio	 e ho ascoltato #Grillo su Internet: è un incrocio tra il primo #Bossi e il Gabibbo. ”: http://t.co/IQBxkY1w 
2941	(Siete divertenti) Fino a ieri #Grillo e il #M5S non l'avete c..o, ora fa 	paura	, e tutti addosso. 
3013	Bossi ha appena detto che il governo Monti fa 	schifo	, perché è un governo di improvvisatori. Senza commento. 
3018	RT @user: la mia tl continua a fare 	schifo	 
3035	RT @user: Ehi Martedì, lo so che non sei Lunedì, ma fai 	schifo	 lo stesso. 
3066	#Ballarò Maroni rimprovera il governo monti di fare cassa, mi chiedo dove stesse quando con quattro manovre hanno fatto 	cassa	 e scasso 
3066	#Ballarò Maroni rimprovera il governo monti di fare 	cassa	, mi chiedo dove stesse quando con quattro manovre hanno fatto cassa e scasso 
3164	@user sto anche facendo 	pausa	 con yogurt ... ottimo parlare di ste cose ... #solocosebelle e buone !!! yeeesss ma venite in camper? 
3280	Fa 	notizia	 Mario Monti, sorpreso alla guida senza cintura e al cellulare. Così ci sembra meno grave l'accusa per camorra all' on. Cosentino 
3484	di questo passo mi metto di nuovo a fare 	acacia	 
3593	come fa a piacervi la pioggia? si ok è bella quando siete in casa a leggere ma allora non fa 	differenza	, è nello stare fuori la differenza 
3669	RT @user: l'amore non ricambiato fa 	schifo	 
3791	Bossi: ' Il governo Monti? Fa 	schifo	 ' http://t.co/HA1ePo8P 
3837	invecchia di 50 anni in pochi giorni. Voleva far 	parte	 del governo Monti http://t.co/grUqQE70 
3865	@user No è solo una tipica minchiata alla #Grillo parole a caso per fare 	fumo	 ... 
3897	Mario #Monti In Italia oggi Bill Gates non potrebbe mai fare 	strada	, bisogna liberalizzare 
3907	#Occupiamoiltesoro Il governo Monti ci fa 	schifo	. Default selettivo. Welfare universale. Più risorse alla cultura http://t.co/5YjgJDf9 
3916	Male male male .. Un governo Monti con Letta vice, Palma e Frattini riconfermati, Ichino (Pd) al welfare ... Per fare 	cosa	? #elezionisubito 
3971	26. ti dicono che sei brutta, cosa fai? non ci faccio 	caso	 anche se ci rimango male lo stesso. 
3999	Il nuovo Bossi-pensiero: � Il governo Monti fa 	schifo	 � http://t.co/8mDZSpoU via @user 
4013	In conclusione #piazzapulita e #serviziopubblico hanno fatto 	campagna	 elettorale per #Grillo a due set. dal voto, un' operazione democratica 
4043	Se Letta entra a far 	parte	 del governo Monti per me il governo Monti può andare anche a fanculo. 
4136	@user: Gianni Letta: Sicuramente non farò 	parte	 del governo Monti (ag Dire) e meno male! 
4264	devo andare a fare 	fisioterapia	 
4268	Governo #Monti non so come andrà ma l'unica cosa che mi fa 	piacere	 e' vedere #faccenuove anche se un po' datate 
4269	#Grillo vola nei sondaggi e fa 	paura	 #Bersani e #Vendola preoccupati: comincia il tutti contro tutti! http://t.co/ndYyyssL @user 
4271	Mi sbaglio o #Grillo disse che non avrebbe mai fatto 	politica	? Ricordo male o il #M5S disse che non si sarebbe mai candidato alle politiche? 
4568	@user la distanza fa 	schifo	, gn 
4586	#Grillo, a differenza di ciò che dice, non ha proposte concrete, spara a zero su tutto e tutti, è facile far 	politica	 così #Piazzapulita 
4721	@user fa 	paura	? hahaha 
4927	#Grillo fa 	finta	 di non capire che in rete si segue anche se disprezzi o non condividi. Fa le stime a #cazzo come #Berlusconi 
4952	Faccio 	fatica	 a dirlo , ma ... una spruzzata di Thatcher, please. #Thatcher4italy #liberalizzazioni #taxi #farmacie #benzinai #governo #Monti 
4979	Ricapitolando: #Grillo fa bene a fuggire dai giornalisti, non va paragonato a Stracquadanio e io faccio 	demagogia	. Il #nuovomiracoloitaliano 
5028	“ @user: Spieghiamo a #Grillo che la politica non è un teatro ... e non si fa 	spettacolo	 ... #piazzapulita ” grazie ai ns politici 
5036	i bocchini che fa mia 	madre	 sono monotoni (cit. Mario Monti) 
5077	Mario Monti nominato senatore a vita. I primi momenti del post - Berlusconi mi fanno 	terrore	 ... 
5275	Mario Monti a Porta a Porta | Il video dell' intervista di ieri sera: « Vespa, non sono qui per far 	piacere	 a lei » http://t.co/6Zttq2wC 
5302	Letta: È venuto il momento che l'A.D. di Fimeccanica, Orsi, faccia 	pulizia	. Sosteniamo la posizione di Mario Monti http://t.co/ZtxFx7IQ 
5306	ciao, sono ancora io carlottina e ti dico che mi fai sempre più 	pena	, w 1D! (@user live on http://t.co/5czb1cZi) 
5320	Perché #Grillo mi fa 	paura	 almeno quanto il becerume leghista? 
5450	la mia mamma ha fatto 	pizzaaaa	 &lt;3 :3 
5487	#serviziopubblico è l'unico programma che sta facendo 	informazione	, gli altri veramente sono l'istituto Luce con sto governo #Monti 
5538	@user1 Può far 	luce	 sul nuovo profilo Twitter di Mario Monti? E' l'ennesimio falso? Mi riferisco a @user2 
5649	#Grillo gioca sulla debolezza sociale. Fare 	attenzione	 #Piazzapulita 
5654	Forse con il governo #Monti si tornerà a fare 	politica	. 
5678	POLITICA. A Napoli oggi De Magistris fa 	rete	 con amministratori del Sud e anima opposizione a governo Monti + unanimismo che lo sostiene. 
5917	#rt seguimi e ti seguo. Voglio seguire tanti Smilers, Selenators, Directioners, Lovatics, Beliebers e altri fandom di cui fate 	parte	. x38 
6374	Quello che fa 	festa	 per la pensione e deve lavorare altri 7 anni: La mini riforma del governo Monti gioca brutti ... http://t.co/xqraBFIR 
5854	Il fatto che #Grillo non sia un politico ma che, tra una parolaccia e l'altra, faccia 	politica	 dà fastido a molti, in maniera bipartisan 
6094	capisco che sperate nel governo monti, però non fate 	finta	 di non vederne contraddizioni e pericolosità 
6390	Il governo #Monti fa 	retromarcia	 http://t.co/6OBUC9Zj 
6333	RT @user: Cose irresistibili in una ragazza pt. 58 Quando fanno 	finta	 di non credere ai complimenti invece dentro saltano di gioia 
5830	A me le scelte del Governo Monti non mi fanno piangere, mi fanno 	schifo	! 
6599	@user appena me ne sono accorta l'ho cancellato subito ahahhah invece jasy non ci avevo fatto proprio 	caso	 ahhaha 
6270	RT @user: benvenuti al concerto della boyband piu' famosa, che si mettono a fare 	carta	 sasso e forbici come se niente fosse http://t .… 
5898	ogni tanto vi propongo delle vignette, datemi il vostro parere, anche se vi fanno 	schifo	 http://t.co/Vv63284B 
5850	Specifico: Gianni Letta: sicuramente non farò 	parte	 del governo Monti. e siamo un passo avanti. #finecorsa 
6337	Ma una donna in grado di essere chiamata a far 	parte	 del Governo #Monti? No, eh ?! 
6311	#ballaró il Governo Monti ha fatto 	cassa	 e non poteva che farla sulla massa, pensionati ... 
6109	@user Ilvo Diamanti sta giustamente dicendo che riavvicina la gente alla politica, della quale #Grillo entrerà a far 	parte	 con 1 part. 
6637	Chi dice sì al governo Monti? http://t.co/sZmWVHB6 leggere questi nomi fa 	impressione	 eh, però mandiamo giù sto rospo: Governo Monti sia! 
