sent_id	left_context	pivot	right_context
tut-1328	In tali casi, quando vi sia assoluta urgenza e non sia possibile il tempestivo intervento dell' Autorità giudiziaria, il sequestro della stampa periodica può essere eseguito da ufficiali di polizia giudiziaria, che devono immediatamente, e non mai oltre ventiquattro ore, fare 	denunzia	 all' Autorità giudiziaria. 
tut-1516	I membri del Governo, anche se non fanno 	parte	 delle Camere, hanno diritto, e se richiesti obbligo, di assistere alle sedute. 
tut-1577	Ogni altra legge che importi nuove o maggiori spese deve indicare i mezzi per farvi 	fronte	. 
tut-1690	Ne fanno 	parte	 di diritto il primo presidente e il procuratore generale della Corte di cassazione. 
tut-1694	Non possono, finché sono in carica, essere iscritti negli albi professionali, né far 	parte	 del Parlamento o di un Consiglio regionale. 
tut-1806	Lo statuto è sottoposto a referendum popolare qualora entro tre mesi dalla sua pubblicazione ne faccia 	richiesta	 un cinquantesimo degli elettori della Regione o un quinto dei componenti il Consiglio regionale. 
tut-1834	Si può, con legge costituzionale, sentiti i Consigli regionali, disporre la fusione di Regioni esistenti o la creazione di nuove Regioni con un minimo di un milione di abitanti, quando ne facciano 	richiesta	 tanti Consigli comunali che rappresentino almeno un terzo delle popolazioni interessate, e la proposta sia approvata con referendum dalla maggioranza delle popolazioni stesse. 
tut-1835	Si può, con l'approvazione della maggioranza delle popolazioni della Provincia o delle Province interessate e del Comune o dei Comuni interessati espressa mediante referendum e con legge della Repubblica, sentiti i Consigli regionali, consentire che Provincie e Comuni, che ne facciano 	richiesta	, siano staccati da una Regione e aggregati ad un'altra. 
tut-1865	Le leggi stesse sono sottoposte a referendum popolare quando, entro tre mesi dalla loro pubblicazione, ne facciano 	domanda	 un quinto dei membri di una Camera o cinquecentomila elettori o cinque Consigli regionali. 
tut-1867	Non si fa 	luogo	 a referendum se la legge è stata approvata nella seconda votazione da ciascuna delle Camere a maggioranza di due terzi dei suoi componenti. 
tut-1876	Per la prima composizione del Senato della Repubblica sono nominati senatori, con decreto del Presidente della Repubblica, i deputati dell' Assemblea Costituente che posseggono i requisiti di legge per essere senatori e che: * sono stati presidenti del Consiglio dei Ministri o di Assemblee legislative, * hanno fatto 	parte	 del disciolto Senato, * hanno avuto almeno tre elezioni, compresa quella all' Assemblea Costituente, * sono stati dichiarati decaduti nella seduta della Camera dei deputati del 9 novembre 1926, * hanno scontato la pena della reclusione non inferiore a cinque anni in seguito a condanna del tribunale speciale fascista per la difesa dello Stato. 
tut-1877	Sono nominati altresì senatori, con decreto del Presidente della Repubblica, i membri del disciolto Senato che hanno fatto 	parte	 della Consulta Nazionale. 
tut-2000	(32) La presente direttiva è conforme ad alcuni principi sull' applicazione della nuova strategia illustrata nella risoluzione del Consiglio, del 7 maggio 1985, relativa ad una nuova strategia in materia di armonizzazione tecnica e normalizzazione [5], e al criterio di far 	riferimento	 alle norme europee armonizzate. 
tut-2088	Alcune di esse sono state tuttavia organizzate nei paesi terzi o nei paesi candidati all' adesione per far 	fronte	 ad esigenze specifiche legate alla protezione dell' euro, come nel caso delle attività intraprese in Colombia, per tutti i paesi dell' America del sud, e in Bulgaria, anche per gli altri paesi dell' Europa sud-orientale. 
tut-2092	Il coordinamento delle azioni del programma e di altre attività di formazione è affidato al Gruppo di esperti contro la falsificazione dell' euro, di cui fanno 	parte	 esperti di tutti gli Stati membri e dei paesi candidati e a cui partecipano rappresentanti di Europol, della BCE e di Interpol, conformemente al settimo considerando della decisione Pericle. 
tut-2117	Il testo delle decisioni nelle lingue facenti 	fede	, ad eccezione dei dati riservati, è disponibile sul sito http://europa.eu.int/comm/secretariat@general/sgb/state@aids. 
tut-2126	(Il testo in lingua inglese è il solo facente 	fede	). 
tut-2277	A Tirana la polizia ha impedito nuove manifestazioni presidiando i luoghi di possibile raduno, mentre uno dei capi della protesta contro le finanziarie-truffa è stato picchiato dai suoi stessi sostenitori per aver aderito al forum democratico di cui fanno 	parte	 anche forze di sinistra. 
tut-2446	Il presidente dell' Inter, Massimo Moratti, ha acquistato il 4,9% della Camfin, la holding azionista di riferimento del gruppo Pirelli e che fa 	capo	 alla famiglia Tronchetti Provera. 
tut-2548	Per questo fare 	giustizia	 oggi è difficile. 
tut-2574	Secondo Luigi Fabri, presidente del comitato degli imprenditori italiani in Albania il rischio fa 	parte	 dell' attività imprenditoriale e credo che questa esperienza sia interessante, malgrado tutto. 
tut-2591	Inoltre a seguito dei contatti già avviati domenica, il ministro Lamberto Dini ha fatto pervenire un messaggio al presidente della Commissione Europea Jacques Santer, in merito al ruolo che l'Ue può svolgere nell' attivare gli strumenti necessari per far 	fronte	 alla situazione. 
tut-2874	Gli fa 	eco	 il sindaco di Pino Torinese, Antonio Pecorari: 
tut-3003	Gli indigeni non li vedono di buon'occhio, questi stranieri, anche perché la colonia spendacciona ma discreta che ha preso il posto dei vecchi di Bruxelles, ha imposto lo squarcio di alcuni tra i più vecchi ed antichi della città per far 	posto	 ai palazzi della "zuppa europea" come vengono chiamati dalle cattive lingue. 
tut-3101	ha perso la vista nel Viet, ma è in grado col suo bastone foderato in rasoio di far 	giustizia	, di guidare, compiere acrobazie. 
tut-3148	Mazowiecki, emozionato, ha fatto 	visita	 ieri al suo amico Papa, che l'ha abbracciato, l'ha invitato a colazione e, parlando della situazione polacca, ha detto, a mo di scongiuro: 
tut-3345	Documentato a Rimini nel 1482, fece 	testamento	 nel 1487 e morì a Sansepolcro il 12 ottobre 1492. 
tut-3604	La linea Yamanote (山手線, Yamanote-sen) è una linea ferroviaria suburbana di Tokyo, a scartamento ridotto, posseduta e gestita dalla compagnia East Japan Railway Company (facente 	parte	 del gruppo JR Group). 
tut-3618	Il servizio sulla linea fa 	uso	 di treni serie E231 composti da 11 carrozze introdotti gradualmente a partire dall' aprile 2002. 
tut-3633	Per far 	fronte	 all' incapacità della Linea Musashino di trasportare tutte le merci richieste venne utilizzata anche la Linea Saikyō e la Linea Shōnan-Shinjuku. 
tut-3642	Mantenne entrambe le denominazioni fino al 1971, quando le Ferrovie Nazionali Giapponesi scelsero di adottare la vecchia pronuncia di "Yamanote", questo per evitare di fare 	confusione	 con la stazione di Yamate della Linea Negishi di Yokohama, nella stessa regione della Linea Yamanote. 
tut-3691	Non trovando risposta alla loro iniziativa Broglio e altri membri del CRS iniziarono a coinvolgere nel progetto società aerospaziali che non facevano 	parte	 dell' ELDO e non erano rappresentate nella CIA formulando un programma nazionale più ampio. 
tut-3719	La legge n. 97 del 9 marzo 1971 che stanziava 5,7 miliardi dei 29,4 miliardi di lire messi a disposizione per le spese complessive delle attività spaziali nazionali subì i ritardi dell' iter legislativo e anzichè essere distribuita nel triennio 1969-1971, venne impiegata per far 	fronte	 anche alle spese degli anni 1972 e 1973. 
splet-15	l'opuscolo deve fare esplicito 	riferimento	 a quanto sopra; 
quest-37	Di quale gruppo musicale faceva 	parte	 Michael Jackson da bambino? 
quest-644	Di quale partito fa 	parte	 Duarte Lima? 
quest-1787	Di quale gruppo comico faceva 	parte	 John Cleese? 
quest-1887	Di quale gruppo musicale faceva 	parte	 Jimmy Page prima dei Led Zeppelin? 
test-52	Regista è appunto il Fondo Strategico, che fa 	capo	 alla Cassa Depositi e Prestiti. 
test-100	Cinquantacinque anni, ex manager Olivetti, Caio è stato tra i pochi italiani a fare 	carriera	 all' estero. 
test-125	il nome che si sta facendo 	strada	. 
test-205	A Roma forse sentiamo più forte questo contrasto tra l’ambiente maestoso e carico di bellezza artistica, e il disagio sociale di chi fa più 	fatica	. 
test-248	La bambina ha dormito su un albero e il bambino su una roccia, poi si sono fatti 	forza	 e si sono mossi, ma sono caduti in un dirupo. 
1_CC-51	Quanto sopra si applica all' opera anche quando questa faccia 	parte	 di una collezione di opere, anche se ciò non comporta che la collezione di opere di per sé ed indipendentemente dall' opera stessa debba essere soggetta ai termini ed alle condizioni della presente licenza. 
1_CC-65	nella misura in cui sia ragionevolmente possibile, l'Uniform Resource Identifier, che il Licenziante specifichi dover essere associato con l'opera, salvo che tale URI non faccia 	riferimento	 alla informazione di protezione di diritto d'autore o non dia informazioni sulla licenza dell' opera; 
2_Europarl-233	In tal senso, desidero anche fare brevemente 	riferimento	 ai problemi dei tunnel, menzionati dagli onorevoli Rack e Swoboda. 
2_Europarl-262	Gli emendamenti presentati e approvati all' unanimità in sede di commissione fanno 	riferimento	 in due casi alla suddetta procedura di comitatologia recentemente modificata. 
2_Europarl-470	pertanto, gli stati membri dovranno a loro volta farsi 	carico	 delle proprie responsabilità ed eseguire adeguatamente i propri compiti. 
3_UDHR-68	Nessuno può essere costretto a far 	parte	 di un'associazione. 
5_WIKIBalzac-9	Quando finì gli studi, Balzac fece 	apprendistato	 in un ufficio legale, ma lasciò i suoi studi di legge dopo essersi stancato della sua inumanità e banale routine. 
5_WIKIBalzac-254	la scena di un giovane che arriva al paese per fare 	fortuna	 è onnipresente nel romanzo realista, e compare ripetutamente nelle opere di Balzac, come in " Illusions perdues ". 
7_WIKIShake-38	Gli studiosi fanno 	riferimento	 all' arco di tempo tra gli anni 1585 e 1592 come agli "anni perduti" di Shakespeare. 
7_WIKIShake-92	Thomas fu obbligato dal tribunale ecclesiastico a fare pubblica 	penitenza	, fatto che avrebbe causato ulteriore disonore e imbarazzo alla famiglia Shakespeare. 
7_WIKIShake-153	Della compagnia di Shakespeare facevano 	parte	 attori del calibro di Richard Burbage, William Kempe, Henry Condell e John Herninges. 
7_WIKIShake-159	Nel 1623 John Heminges e Henry Condell, due degli amici di Shakespeare che facevano 	parte	 dei King's Men, pubblicarono il First Folio, un'edizione completa delle opere di Shakespeare. 
7_WIKIShake-181	Anche prima della pubblicazione non autorizzata dei due sonetti ne Il pellegrino appassionato nel 1599, Francis Meres aveva fatto 	riferimento	 nel 1598 agli "zuccherosi sonetti tra i suoi amici privati". 
7_WIKIShake-260	Il drammaturgo e critico George Bernard Shaw si fece 	beffa	 del culto dell' adorazione di Shakespeare, definendolo "bardolatria". 
9_PS-140	L'identità delle persone si compone di elementi singoli e di elementi facenti 	parte	 di unità più ampie, e l'impatto delle persone sulla realtà dipende da quali elementi prevalgano sul comportamento. 
9_PS-199	Dal canto loro, gli Stati Uniti hanno fatto 	affidamento	 sui prodotti cinesi a basso costo per aumentare il potere d'acquisto dei consumatori ormai provati. 
9_PS-335	Iniziative volte a migliorare le conoscenze nutrizionali del pubblico sono anch'esse cruciali - non da ultimo perché possono motivare i cittadini a far 	pressione	 sui loro governi affinché passino all' azione. 
9_PS-354	Secondo alcuni dati diffusi dall' Ocse, solo il 55% delle sudcoreane di età compresa tra i 15 e i 64 anni fa 	parte	 della forza lavoro, contro una media del 65% nelle economie avanzate. 
9_PS-428	Il Fmi raramente fa 	notizia	 in prima pagina negli Stati Uniti o negli altri grandi paesi, tranne quando vi è coinvolta una dimensione personale scabrosa. 
9_PS-587	Ovviamente, quando un paese è a corto di opzioni, farà 	finta	 di collaborare per ottenere l'accesso ai fondi ufficiali di salvataggio. 
2Parole_1-85	Sono aumentate anche le persone che fanno 	volontariato	, cioè dedicano parte del loro tempo libero alle persone in difficoltà, per esempio i poveri o gli ammalati. 
2Parole_1-187	Caterina è timida e insicura, ma dopo un po’di tempo fa 	amicizia	 con le sue nuove compagne di scuola. 
2Parole_2-47	Queste persone fanno 	fatica	 a leggere e a capire gli articoli dei giornali che sono troppo lunghi e che contengono parole difficili. 
2Parole_2-81	Facciamo 	attenzione	 a non sciupare le radici, a non rompere il fusto e i rami della pianta. 
2Parole_2-83	Se facciamo 	fatica	 a far uscire la pianta dal vaso possiamo rompere il vaso con un martello. 
2Parole_2-213	La Costituzione Europea è la legge fondamentale comune a tutti i paesi che fanno 	parte	 dell’ Unione Europea. 
2Parole_2-215	Dal 1° maggio 10 nuovi paesi fanno 	parte	 dell’ Unione europea 
2Parole_2-216	Dal 1° maggio 2004, 10 nuovi paesi europei fanno 	parte	 dell’ Unione europea. 
2Parole_2-220	Prima dell’ ingresso di questi paesi nessun paese dell’ Europa dell’ est faceva 	parte	 dell’ Unione europea. 
2Parole_2-257	Cinque di queste donne sono entrate a far 	parte	 della Commissione che doveva scrivere la Costituzione. 
2Parole_2-281	Quando l'impasto diventa liscio e faccio più 	fatica	 a mescolare, lo verso nella teglia unta. 
2Parole_4-262	Se qualche giocatore si fa 	male	 e non può giocare, l’allenatore del Milan, Carlo Ancellotti, ha sempre a disposizione altri campioni. 
2Parole_5-105	I redattori di dueparole, cioè le persone che scrivono gli articoli, fanno 	parte	 dell' associazione "Parlar chiaro". 
2Parole_5-106	Le persone che fanno 	parte	 di questa associazione lavorano per eliminare le barriere linguistiche. 
2Parole_5-108	In particolare, le persone che fanno 	parte	 dell' associazione "Parlar chiaro" vogliono eliminare gli ostacoli che impediscono a molti lettori di capire i giornali italiani. 
2Parole_5-146	I rappresentanti dei Paesi che fanno 	parte	 dell’ Onu, Organizzazione delle Nazioni Unite, sono contrari alla decisione dei rappresentanti del governo dell’ Iran. 
2Parole_5-178	Infatti le donne fanno sempre più 	fatica	 a conciliare il ruolo di moglie, di mamme, di figlie e di lavoratrici. 
2Parole_6-69	I personaggi dei fumetti usano la parola “Ouch” quando vanno a sbattere contro qualcosa e si fanno 	male	. 
2Parole_6-98	Oscar Berger ha incontrato le organizzazioni del Guatemala che difendono i diritti umani e ha chiesto a Rigoberta Menchù di far 	parte	 del nuovo governo. 
2Parole_6-207	Le persone che fanno 	parte	 dell' Unicef si occupano dei problemi dei bambini di tutto il mondo. 
2Parole_6-246	Però i piloti che decidono di partire con poca benzina nel serbatoio devono fermarsi durante la gara per fare 	rifornimento	 di benzina. 
isst_tanl-128	Per lo stesso motivo però, spesso, fanno 	fatica	 ad ammettere che qualcun altro sia veramente più dotato, possegga qualità e capacità superiori. 
isst_tanl-591	Stravince le elezioni del 1990, e si lancia in virtuosismi nazionalistici da far 	invidia	 a Slobo Milosevic: 
isst_tanl-2174	Il ginocchio mi fa sempre un po' 	male	, ma gli ultimi test al Sestriere mi hanno dato molta sicurezza e l'ora della gara è ottima". 
isst_tanl-2903	Slot machine abusive in un bar di piazza San Giovanni dove hanno fatto 	irruzione	 gli agenti del commissariato Esquilino. 
tut-372	Il proprietario di un fondo limitato o attraversato da un'acqua non pubblica, che corre naturalmente e sulla quale altri non ha diritto, può, mentre essa trascorre, farne 	uso	 per l'irrigazione dei suoi terreni e per l'esercizio delle sue industrie, ma deve restituire le colature e gli avanzi al corso ordinario (1). 
tut-1036	Parimenti si fa 	luogo	 alle dovute indennità in conseguenza delle modificazioni o limitazioni di turni, che siano state disposte dall' autorità giudiziaria. 
tut-3037	L'Isola verde fa 	omaggio	 al «Cumenda» che la ideò. 
test-9	I colossi dell' agrochimica Bayer e Syngenta hanno fatto separatamente 	causa	 all' Unione Europea. 
test-299	Una persona così merita di essere internato a vita e gettata via la chiave”, fa 	eco	 Edoardo M.. 
